Year,Bank,Metric,Value
2025,CIBC,Net Assets,
2010,CIBC,Revenue,12110000000.00
2011,CIBC,Revenue,12390000000.00
2012,CIBC,Revenue,12430000000.00
2013,CIBC,Revenue,12950000000.00
2014,CIBC,Revenue,12910000000.00
2015,CIBC,Revenue,13810000000.00
2016,CIBC,Revenue,14760000000.00
2017,CIBC,Revenue,16390000000.00
2018,CIBC,Revenue,17860000000.00
2019,CIBC,Revenue,18780000000.00
2020,CIBC,Revenue,18770000000.00
2021,CIBC,Revenue,20490000000.00
2022,CIBC,Revenue,22200000000.00
2023,CIBC,Revenue,23560000000.00
2024,CIBC,Revenue,26570000000.00
2025,CIBC,Revenue,27420000000.00
2010,CIBC,Earnings,4060000000.00
2011,CIBC,Earnings,3900000000.00
2012,CIBC,Earnings,3920000000.00
2013,CIBC,Earnings,4510000000.00
2014,CIBC,Earnings,3550000000.00
2015,CIBC,Earnings,4300000000.00
2016,CIBC,Earnings,5570000000.00
2017,CIBC,Earnings,5880000000.00
2018,CIBC,Earnings,6440000000.00
2019,CIBC,Earnings,6530000000.00
2020,CIBC,Earnings,5450000000.00
2021,CIBC,Earnings,8630000000.00
2022,CIBC,Earnings,6740000000.00
2023,CIBC,Earnings,7960000000.00
2024,CIBC,Earnings,9820000000.00
2025,CIBC,Earnings,10270000000.00
